,name,contents
1435,(노랑)대배기,"노랑대배기는 노란굴에서 구은 것을 가리키지만 통상적으로 부르는 명칭은 아님
"
4810,놀개기,⇒놀개
4024,다가리,#NAME?
4682,다간,이수매(이듭)
4724,다간,소의 두 살
4749,다간,소의 두 살
4723,다간-송애기,두 살된 송아지
5548,다개,마개
3316,다군작-낭,#NAME?
1356,다근재기낭,예덕나무
4532,다금바리,농어와 비슷하나 등은 보랏빛을 띤 연한 푸른빛의 바다고기. 일본어 hong ala
615,다긋다,서두르다.
5762,다님,#NAME?
1384,다다미,"다듬잇돌
"
6046,다도악-이,말 더듬는 사람
5547,다돗-테기,닷 되 들이 솥
951,다랑쉬,"산봉우리 분화구가 달처럼 둥글게 보인다 하여 붙여짐
"
5546,다루왜,#NAME?
5545,다리,#NAME?
5544,다리왜,⇒다루왜
5761,다림,⇒다님
182,다못," 다만, 또"
6300,다섯-물,너물 다음날 조수
51,다슴,다심. 어붓. 의리로 맺어진 인륜 관계
6045,다슴-똘,어붓딸(義女)
6044,다슴-아돌,어붓아들(義子)
6043,다슴-아방,어붓아비(義父)
6042,다슴-애기,어붓자식
6041,다슴-어멍,어붓어미(義母)>
4680,다습,오수매(다습)
4746,다습,소의 다섯 살
4722,다습,소의 다섯 살
4721,다습-부룽이,다섯 살 된 수소
614,다조치다,재촉하다.
613,다호다,끝내다.
884,닥-돌래,"닥은 닥나무, 돌레는 둥그렇게 생긴 작은 밭이다. 닥나무를 재배했던 곳 
"
831,닥-돌레,"닥나무를 키웠던 작은 밭
"
4443,닥살,#NAME?
6040,단-똘,외딸
5760,단-불,단벌
6039,단-아돌,외아들
4893,단골,#NAME?
4892,단궐,⇒단골
2350,단소-육갑,단수육갑(短壽). 단명 육십년(短命六十年)의 뜻함
5543,단지,꼬마동이
5759,단취,단추
4023,달-가지,‘다리’를 얕잡은 말
5542,달귀,달고
181,달그락달그락,달그랑달그랑. 달각달각
374,달르다,다르다.
2349,담-질,담 넘기
612,담다,김치. 젓 따위를 담그다.
1127,담머리-코지,"돌을 이용해 쌓아놓은 시설물의 머리 부분 
"
5541,담베-통,담뱃대
6038,담베-푹새기,용구뚜리
2348,답도리,잡도리
5540,닷,뱃줄
5539,닷-돌,닻돌
5686,닷세-베,넉세베 다음 굵은 베
4720,당-나귀,나귀
