,name,siteName,index,contents,engContents
0,돗-거미,돗거미,IS03S,"황금거미
",gold spider
1,할망,할망,IS14S,할머니,Grandmother
2,하르방,하르방,IS14S,할아버지,Grandfather
3,&#62273;싱,&#62273;싱,IS10S,정말. 의심할 때 행여나 될까 하고 추측하는 뜻을 나타내는 말,A word to express suspicion
4,&#62273;마,&#62273;마,IS10S,&#62273;마-고라=&#62273;마-&#57767;라. 아니원,On world
5,고라,고라,IS01S,&#57767;라=&#58250;려. 더러,Sometimes
6,옵서,옵서,IS08S,오다,Come
7,예게,예게,IS08S,예예. '예'를 강조하는 경우,A word to emphasize 'yes'
8,에게,에게,IS08S,이끼. 생각하는 바와 달랐을 때 이거 머냐는 뜻을 나타내는 말,A word to express disappointment
9,어이,어이,IS08S," 여보게, 여봐라",Hey there
10,양²,양²,IS08S,예. 윗 사람에게 묻는 경우,Yes (When asked by a senior)
11,애개,애개,IS08S,모자라다고 생각할 때 나오는 소리,How poor
12,아이구기여,아이구기여,IS08S,아이고 아프다'의 뜻을 나타내는 말,Ouch
13,무사,무사,IS05S,왜,Why
14,메,메,IS05S,= 메께라. 별소릴 다,Nonsense
15,날봅서,날봅서,IS02S,여보시오,Hey
16,기여,기여,IS01S," 오냐, 그래",OK
17,그거무사,그거무사,IS01S,아뿔싸,Alas
18,겔쎄,겔쎄,IS01S,글쎄,Well
19,게메,게메,IS01S,게메서란=게메선. 그러기에. 과연 그렇다는 뜻을 나타내는 말,Therefore
20,게¹,게¹,IS01S,겐. 그래. 해라 할 자리에 그렇다는 뜻을 나타내는 말,That's right
21,큰말젯 상제,큰말젯 상제,IS11S,다섯 중 셋째 상제,The third mourner among five
22,큰말젯 사위,큰말젯 사위,IS11S,다섯 중 셋째 사위,The third son-in-law among five
23,큰말젯,큰말젯,IS11S,다섯 중 셋째의 인륜 관계,The third among five
24,족은말젯 상제,족은말젯 상제,IS09S,다섯 중 넷째 상제,The forth mourner among five
25,족은말젯 사위,족은말젯 사위,IS09S,다섯 중 넷째 사위,The fourth son-in-law among five
26,족은말젯,족은말젯,IS09S,다섯 중 넷째의 인륜 관계,The fourth among five
27,셍 거,셍 거,IS07S,날 것,Raw food
28,셋 &#58344;,셋 &#58344;,IS07S,가운데 딸,The daughter in the middle
29,셋 아방,셋 아방,IS07S,중부,The central part
30,셋 성,셋 성,IS07S,가운데 형,Elder brother in the middle
31,셋 동셍,셋 동셍,IS07S,가운데 동생,Younger brother in the middle
32,셋 누이,셋 누이,IS07S,가운데 누님,The middle sister
33,셋 놈,셋 놈,IS07S,가운데 놈,The middle son
34,셋 년,셋 년,IS07S,가운데 딸, The middle daughter
35,셋,셋,IS07S," 샛, 가운데",Center
36,세양,세양,IS07S," 수양, &#49653;
", Fostering
37,새 &#60376;,새 &#60376;,IS07S,햇 쌀, New rice
38,새 서방,새 서방,IS07S,신랑, Bridegroom
39,새 곡석,새 곡석,IS07S,햇 곡식, A new crop of grain
40,새 각시,새 각시,IS07S,신부, Bride
41,새,새,IS07S,햇, New
42,무신,무신,IS05S,뭔. 무슨, What
43,멧,멧,IS05S,몇," How many, which"
44,말젯 &#58344;,말젯 &#58344;,IS05S,셋째 딸, The third daughter's
45,말젯 집,말젯 집,IS05S,셋째 집, The third son's
46,말젯 아&#58255;,말젯 아&#58255;,IS05S,셋째 아들, The third son
47,말젯삼춘,말젯삼춘,IS05S,셋째 삼촌, The third uncle
48,말젯,말젯,IS05S,넷 중 셋째의 인류 관계,The third among four
49,막동이,막동이,IS05S,막내동이, The youngest
50,막 일,막 일,IS05S,마지막 일, The last thing
51,다슴,다슴,IS03S,다심. 어붓. 의리로 맺어진 인륜 관계, Relationship based on righteousness
52,&#57992; 땅,&#57992; 땅,IS02S,맨 땅, Bare ground
53,&#57992; 거,&#57992; 거,IS02S,날 것, Raw
54,&#57992;,&#57992;,IS02S,셍. 날, Uncooked
55,&#57987;단 손,&#57987;단 손,IS02S,오른 손, Right hand
56,&#57987;단,&#57987;단,IS02S,오른쪽, To the right
57,늬,늬,IS02S,네, You
58,곤 죽,곤 죽,IS01S,쌀 죽, Rice porridge
59,&#62793;상,&#62793;상,IS14S,항상, Always
60,&#62789;치,&#62789;치,IS14S,①함께 ②애당초," Together, from the beginning"
61,&#62789;부로,&#62789;부로,IS14S,함부로, At random
62,&#62778;참,&#62778;참,IS14S,한참, For a while
63,&#62778;저,&#62778;저,IS14S,어서, Quickly
64,&#62778;디,&#62778;디,IS14S," 한데, 함께", Together
65,히지부지,히지부지,IS14S,흐지부지, Vaguely
66,히어뜩이,히어뜩이,IS14S,정신이 어지럽게, Confusingly
67,히뜩²,히뜩²,IS14S,쓰러지는 꼴, A way of collapsing
68,히뜨거니,히뜨거니,IS14S,히뜩. 새벽 하늘이 부옇게 밝아가는 꼴, Beginning to glow light
69,흥창망창,흥창망창,IS14S,흥청망청, With elation
70,곤 &#60376;,곤 &#60376;,IS01S,쌀, Rice
71,곤 밥,곤 밥,IS01S," 흰 밥, 쌀 밥", White rice
72,곤,곤,IS01S,고운, Fine
73,흔들만들,흔들만들,IS14S,곤드래만드래., Staggering
74,하영,하영,IS14S,많이., Much
75,펜두룽이,펜두룽이,IS13S," 펜주룽이=펜드렁이<핀두룽이. 시치미 떼고 그대로 있는 꼴, 겁내지 않고 태연한 꼴.", Daringly
76,페삭페삭,페삭페삭,IS13S,바삭바삭., With a rustle
77,페삭,페삭,IS13S,바삭., With a crunch
78,팰롱팰롱,팰롱팰롱,IS13S,펠롱펠롱. 빤짝빤짝., Brilliantly
79,&#62277;라리,&#62277;라리,IS10S,차라리., Rather
80,천성,천성,IS10S,언제나.,Always
81,&#61961;&#61961;이,&#61961;&#61961;이,IS09S,매우 자세히., Very much precisely
82,&#61956;질이,&#61956;질이,IS09S," 잘게, 가늘게.", Minutely
83,&#61948;주,&#61948;주,IS09S,자주., Often
84,&#61948;세히,&#61948;세히,IS09S," &#61956;상히. 꼼꼼히, 자세히.", In detail
85,&#61948;못,&#61948;못,IS09S,자못., Greatly
86,&#61948;근&#61948;근,&#61948;근&#61948;근,IS09S," &#62273;근&#62273;근. 차곡차곡, 차근차근.", Steadily
87,짓,짓,IS09S,마구., Carelessly
88,진직,진직,IS09S,진작., Already
89,죽게,죽게,IS09S,죽도록., To death
90,졸바로,졸바로,IS09S,올바르게, In a right way
91,족족,족족,IS09S," 조끔조끔, 조금씩.", Bit by bit
92,조고마니,조고마니,IS09S,자그마니.,Tiny
93,제나,제나,IS09S,제발., Please
94,잇당,잇당,IS08S," 있다가, 이따금.", On and off
95,이&#62273;록,이&#62273;록,IS08S,이처럼., Like this
96,이칙,이칙,IS08S," 인칙, 일찍, 아까.", Just before
97,이시커니,이시커니,IS08S," 이식이, 한참동안.", For a while
98,이레저레,이레저레,IS08S,이리저리., This way and that
99,이디저디,이디저디,IS08S,여기저기., Here and there
100,으레,으레,IS08S," 의례히, 말할 것 없이.", Without saying
101,원체,원체,IS08S," 본디, 원래.", Originally
102,와싹,와싹,IS08S,햇볕이 강하게 쬐는 꼴, Shine down upon
103,오고생이,오고생이,IS08S,고스란히, In full
104,영판,영판,IS08S,아주, Very
105,영정,영정,IS08S,이영저영. 이리저리, Here and there
106,영낙읏이,영낙읏이,IS08S,틀림없이, Without failure
107,영,영,IS08S," 이영. 이리, 이렇게", In this way
108,역부로,역부로,IS08S,역불. 일부러, On purpose
109,어잉간이,어잉간이,IS08S," 엥간이=어지간이=어징간이. 어연간히, 대강, 괜찮게"," One way or other, not bad"
110,어숙어숙,어숙어숙,IS08S,주저주저, Irresolutely
111,어서라,어서라,IS08S," 어서, 얼른", Quickly
112,어물쭈물,어물쭈물,IS08S,어물어물, Hesitatingly
113,어뜩&#62775;민,어뜩&#62775;민,IS08S,&#62775;&#60376;&#62775;민. 건뜻하면, Roughly
114,어떵,어떵,IS08S,어떻게, How
115,어떠난,어떠난,IS08S,어째서, Why
116,어그레,어그레,IS08S," 얼른, 지체 없이", Without hesitation
117,아명,아명,IS08S,아미영. 아무렇게, Anyhow
118,아며도,아며도,IS08S," 아명해도=아미영해도. 암만해도, 아무렇게 해도", In any manner
119,아며나,아며나,IS08S," 아명이나=아미영이나. 아무러나, 아무렇게나", Randomly
120,&#59778;짝,&#59778;짝,IS07S,&#59778;짹이. 살짝, Slightly
