,name,contents
1494,(노랑) 허벅,"노란굴에서 구은  물동이
"
1495,(노랑)대배기,"노랑대배기는 노란굴에서 구은 것을 가리키지만 통상적으로 부르는 명칭은 아님
"
1586,-고저라-&#62775;다(여변),하고 싶어하다
4911,가개비,청개구리
2851,가남,①자력(資力). ②가늠
1692,가남-&#62775;다(여변),=가늠-`&#62775;다.` 겨냥하다
5455,가냐귀,가마귀
2850,가냥,=간수=강적. 간직함
1691,가냥-&#62775;다(여변),=간수-'&#62775;다'=강적-'&#62775;다.' 간직하다
1690,가늠-&#62775;다(여변),⇒가남&#62775;다
4887,가다리,=저립. 재방어(일본어 oggisawala) 가다리는 살이 희고 저립은 살이 검음
7084,가닥-섬,멀리 떨어진 외로운섬
4476,가달,=각. 다리
5822,가달-석,굴레
5536,가달-석,굴레
2849,가달-춤,갈랙질
5712,가닷-담,거섶
1689,가두다,냄새나 연기 같은것이 사라지다. 숨이 끊어지다. 물이나 피 같은것이 흐르다가 그치다
5152,가라&#58726;,=가래&#58726;. 검은 말(만몽어에서 온 것)
5265,가라-&#58726;," =가래-&#58726;. 검은 말
"
6325,가락지,=가래기. 가락
5262,가래-&#58726;,⇒가라&#58726;
6324,가래기,⇒가락지
5821,가래죽,=갈래죽. 삽
6801,가로기," =&#57773;래기 =&#57773;로기 =&#57773;루기. 쌍둥이
"
1066,가르메물,"사람 머리꼭대기 정수리처럼 생겼다 하여 연유한 이름
"
7083,가름,마을안의 구분된 거리
5711,가름-팥,부락 안에 있는 밭
1688,가리다,끝이 여러갈래로 갈라지다
1687,가리치다,잡아뜨려 눕히다. 엎어진 것을 근본대로 고쳐 놓다
5633,가린-석,밭갈 때 왼손에 잡는 고삐
5820,가린-석,밭갈 때 왼손에 잡는 고삐
2848,가림,사리
5553,가릿-당,본디 ‘개당’을 뜻하는 말인데 조천면 북촌(北村)의 당신(堂神)이 처음 나온곳이기도 함
4109,가릿-당,=개-당. 갯가에 있는 당집
4735,가마귀-마께,가마귀 벼개
6268,가마귀-머림,닭집 지붕 그물
4987,가마귀-물꾸럭,불가사리
4642,가마귀-바농,=개-바농. 도깨비바늘
4886,가마귀-보&#58726;,다슬기
4734,가마귀-숟가락,살마. 반하(半夏)
4641,가마귀-지장,=소새=소새-풀=왕-소새. 솔새
1309,가마귀연줄,괭이밥
1268,가마귀오동남,까마귀베개
1376,가마귀웨줄,괴승아
2703,가마귀테,가마귀 떼
958,가마오름,"신령스러운 산이라는 뜻에서 유래
"
3741,가막-창신,여자 가죽신의 한 가지
4986,가막보리,섭조개
1144,가막여물,"검은빛의 여가 많아 붙여진 이름
"
1348,가막탈낭,검은딸기
6267,가매기,=가맹이. 가마니
1175,가매물,"말이 목이 말라 물을 마시는 형국이라 하여 붙여진 이름
"
6266,가맹이,⇒가매기
6265,가맹이-테기,가마니때기
4475,가메,가마(&#38998;)
6264,가메1,가마(釜)
6263,가메2,=도꼐=도끼. 가마
1267,가메기낭,까마귀베개
1269,가메기멀리,까마귀머루
890,가문-다리,"가문는 가늘다의 뜻으로 외나무다리가 있었던 곳
"
1686,가물다(ㄹ변),= 따물다. 다물다
412,가벱다,개뱁다. 가볍다.
1685,가불다(ㄹ변),닳다. 꽃이나 채소 같은 것이 다 떨어지다
4733,가세-축,=흑-축. 생각나무(개동백나무)
960,가세오름,"산봉오리가 두 갈래로 갈라진것이 가위(가세)와 같아 유래
"
5457,가수리,무당제사에 아직 나오지 못하였던 신들을 대접하는 마지막 제사
4640,가스레기-낭,=가스르기-낭=가스릉-낭=가시릉-낭. 사스레피나무. 섬쥐똥나무
4732,가스르기-낭,⇒가스레기낭
4639,가스릉-낭,⇒가스레기낭
4731,가스새,=가시새. 파리풀
4108,가스새,=가시새. 눌외(橫&#26931;)
5819,가슬-왈,검은 그루
4638,가승마,음양곽(淫羊藿). 삼지구엽초(三枝九葉草)>
